"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","TI_hrs_missing","D_hrs_missing"
"PJM",0.00215628349667107,0.00947066803401611,0.000226010920239468,0.00146151101650461,5.55195139496334e-05,0.00011163177584877,1.12566934227752e-05,0.000158422207034657,0.000141484068718292,"N",91168.0339285714,27,27
"PNM",0.0529431695916762,0.0164826963435929,0.00819240729270385,0.090395472887737,0.080648256194557,0.0502560892282914,0.0437482401908246,0.0502707538000597,0.0640329689543943,"N",1618.50884176587,24,24
"PSCO",0.0710176135085837,0.120905043643386,0.11135398375405,0.0722483174508979,0.0678885986156931,0.0766769165630953,0.051675349292573,0.0402109962418214,0.00348068525633761,"N",5176.66467627515,24,24
"PSEI",0.571558479392753,0.472593046610383,0.508330735818827,0.543181202628186,0.437374377184799,0.299021056653282,0.725562153673091,0.788340521996255,0.676046045281043,"N",2628.06247275321,12911,12908
"SC",0.321655755119194,0.265072509174193,0.315444820747331,0.284341932427962,0.386493449409114,0.376863376273844,0.330481884549301,0.35769607692651,0.304931042134296,"N",2674.60629879652,2933,2933
"SCEG",0.00844483510478003,0.00118861487972355,0.00759270319898164,0.00958150222150128,0.00725109474614409,0.00507064736428227,0.0242881234331875,0.00225680291479963,0.00827733442297406,"N",2780.47033568041,97,97
"SCL",0.393749551122467,0.285336028764121,0.347806079399529,0.345320016574626,0.447378201962806,0.370475079707517,0.372325632479204,0.385136895307797,0.520121553618292,"N",1092.41102461128,27,26
"SEC",0,0,0,0,0,0,0,0,0,"N",190.170297369777,196,196
"SEPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"SOCO",0.00492745346748198,0.00109807289464623,0.000649281793062432,0.0104934733743424,0.0185628835145427,0.00323212568594579,0.00207897051666551,0.00457714461770488,0.000586972928721544,"N",26371.8360965428,1206,1204
"SPA",0.00311077151366419,0.000833727168671956,0.00646993440116163,0,0,0,8.01321134670727e-05,0.000615015988638202,0.0259591422705349,"N",66.7881025668124,168,168
"SRP",0.0125936527943517,0.0571265536826695,0.0362242466304273,0.0258251993074221,1.76618380631956e-05,0,1.27068487839074e-05,9.85680708324942e-07,6.70248223908553e-05,"N",3570.61029265873,945,920
"SWPP",0.00589303684302651,0.00359531505947725,0.00386188894799045,0.00382706302232409,0.00585571598777242,0.00724194091553412,0.00850264286843845,0.00427955278995827,0.00508903634383267,"N",30784.6651909722,2208,48
"TAL",0.0299415267250327,0.087854668981602,0.0692038747523976,0.0299844261671667,0.0141929259101301,0.0299547898781576,0.00385967472122026,0.00380442359461258,0.00391947581126601,"N",317.553126279773,720,24
"TEC",0.0137785282688895,0.0125423981400205,0.00570281000303014,0.0080669802222503,0.00484634828230112,0.0210934232081944,0.0215773398863176,0.0231230196406543,0.01881641584825,"N",2481.26436979008,72,72
"TEPC",0.303520217167287,0.381890791184437,0.398853591656714,0.24294918134928,0.276137920415491,0.319913143198892,0.277397145778884,0.296256416618662,0.221002176505491,"N",1544.9337320334,1431,1428
"TIDC",0.336245938034687,0.407934252174044,0.30406393157173,0.360174330668081,0.371776717549411,0.378621910879256,0.390342507211571,0.339524499972898,0.195651450484156,"N",315.424402552281,72,72
"TPWR",0.478300567878723,0.357868103634936,0.375927078333659,0.50716544551589,0.667063743029505,0.445502130437155,0.458448496708807,0.448069513779001,0.578751853792412,"N",556.383515859281,24,24
"TVA",0.0164911895757135,0.00816019992858786,0.00662106545445563,0.012981644710544,0.00763113280028008,0.00949462203920501,0.0264494320834551,0.0392249066103467,0.0249657874385645,"N",18060.997805197,503,429
"WACM",0.000315976823161064,0,4.58951210863707e-06,0,0,0,5.90049511441423e-06,0.000703499503498361,0.00148606104418495,"N",2845.91032551258,528,480
"WALC",0.179551975587959,0.242377590078245,0.335918863530478,0.303015997086866,0.163644210304818,0.0962996482472089,0.0836912489080974,0.130000685311911,0.113798558663956,"N",1059.48943140985,24,24
"WAUW",0.36408943884856,0.413831221179581,0.476000135292171,0.272809637618167,0.346113993409271,0.385128876011964,0.343645221278747,0.333795194748409,0.334145941935422,"N",92.6547419316485,1465,1703
"WWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"YAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
